workflow,perceived_ai_reliability,initial_trust,repeats,steps,mean_verification_rate,sd_verification_rate,mean_false_acceptance_rate,sd_false_acceptance_rate,mean_implementation_gap_acceptance_rate,sd_implementation_gap_acceptance_rate,mean_role_context_failure_acceptance_rate,sd_role_context_failure_acceptance_rate,mean_final_trust,sd_final_trust
approval_only,0.95,0.6,30,200,0.05666666666666667,0.015218712015223193,0.4465000000000001,0.022327885765531418,0.224,0.034275757996095384,0.13266666666666665,0.023843358553828707,0.9499999999999997,2.2584051416334807e-16
approval_only,0.95,0.9,30,200,0.02366666666666667,0.01181271475508731,0.4671666666666667,0.03413167538178893,0.2348333333333333,0.03587534292358831,0.13366666666666666,0.023778189562087666,0.9499999999999997,2.2584051416334807e-16
trace_gated,0.6,0.3,30,200,0.7756666666666666,0.028184531503857836,0.20516666666666666,0.028023491787320564,0.06449999999999999,0.016260275265939934,0.06933333333333334,0.021485092399203196,0.9103333333333333,0.04311039024558267
trace_gated,0.6,0.6,30,200,0.7783333333333334,0.024716786608090565,0.20983333333333334,0.024335419529528578,0.06566666666666668,0.015465943304527227,0.0685,0.01603605850618515,0.9086666666666667,0.07094112825548307
trace_gated,0.6,0.9,30,200,0.7833333333333334,0.032465720206176656,0.20700000000000002,0.03191043500281633,0.0635,0.017525842987251516,0.07483333333333335,0.013485837611804245,0.9253333333333333,0.03757597667378052
trace_gated,0.7,0.3,30,200,0.7710000000000001,0.029838646544141492,0.2095,0.029779361054723556,0.06916666666666665,0.0198304595619159,0.07033333333333332,0.015139200847430836,0.901,0.07145531519044264
trace_gated,0.7,0.6,30,200,0.7793333333333333,0.02747203384677154,0.21583333333333327,0.028225793209382986,0.07600000000000001,0.022833731853221618,0.07133333333333333,0.01938419785383913,0.9199999999999998,0.056872513208233326
trace_gated,0.7,0.9,30,200,0.7746666666666665,0.02042367343994733,0.2175,0.025350984473844478,0.06883333333333333,0.01955025942738768,0.07166666666666668,0.017875688235283627,0.9036666666666665,0.0659928592444997
trace_gated,0.8,0.3,30,200,0.78,0.033707668215878187,0.2068333333333333,0.03091934260501728,0.07183333333333333,0.01873054546278173,0.06016666666666667,0.02098781803206628,0.906,0.05243057807464423
trace_gated,0.8,0.6,30,200,0.7754999999999999,0.02688897992448414,0.21099999999999997,0.03029737669308613,0.07400000000000001,0.01953776184548871,0.06683333333333333,0.017144584614658804,0.8970000000000001,0.057002722258042884
trace_gated,0.8,0.9,30,200,0.7696666666666666,0.026907675271300342,0.22249999999999998,0.028579894066066557,0.078,0.020535923108811898,0.07050000000000002,0.015830459509308694,0.9159999999999999,0.0469482473691455
trace_gated,0.9,0.3,30,200,0.7871666666666667,0.02528060907894228,0.20866666666666672,0.035378089199422556,0.07533333333333332,0.019472940258185217,0.06216666666666667,0.020158139167905445,0.9143333333333334,0.05882078763049033
trace_gated,0.9,0.6,30,200,0.7766666666666668,0.03437454283917532,0.2195,0.02464751508773248,0.076,0.021511825136181616,0.071,0.01572391106914386,0.9236666666666664,0.04937424522920839
trace_gated,0.9,0.9,30,200,0.7876666666666667,0.025587353197979675,0.21300000000000005,0.02430410778392027,0.08150000000000003,0.01587396480469481,0.06966666666666668,0.019561280074701645,0.9159999999999999,0.04716807804232533
trace_gated,0.95,0.3,30,200,0.7746666666666666,0.028585423501876085,0.20999999999999996,0.02649007621602917,0.07949999999999999,0.02010103788708262,0.06833333333333334,0.01708666213713216,0.9166666666666665,0.04603846467775666
trace_gated,0.95,0.6,30,200,0.7831666666666667,0.03304864057231645,0.20400000000000001,0.03176964502205819,0.07333333333333332,0.01657445756814264,0.06583333333333334,0.01781530402410423,0.8986666666666666,0.07064888086739995
trace_gated,0.95,0.9,30,200,0.7671666666666668,0.03349429527683714,0.21649999999999997,0.02293732089096659,0.07716666666666666,0.016592651745698246,0.07050000000000001,0.01561111451984528,0.9099999999999999,0.04362852594188881
